t, acceleration, velocity
1.850000,0.218898,0.407234
1.860000,0.218897,0.409423
1.870000,0.218897,0.411612
1.880000,0.218896,0.413801
1.890000,0.218896,0.415990
1.900000,0.218895,0.418179
1.910000,0.218895,0.420368
1.920000,0.218894,0.422557
1.930000,0.218894,0.424746
1.940000,0.218893,0.426935
1.950000,0.218893,0.429124
1.960000,0.218892,0.431313
1.970000,0.218892,0.433502
1.980000,0.218891,0.435691
1.990000,0.218891,0.437880
2.000000,0.218890,0.440068
2.010000,0.218890,0.442257
2.020000,0.218889,0.444446
2.030000,0.218889,0.446635
2.040000,0.218888,0.448824
2.050000,0.218888,0.451013
2.060000,0.218887,0.453202
2.070000,0.218887,0.455391
2.080000,0.218886,0.457580
2.090000,0.218886,0.459768
2.100000,0.218885,0.461957
2.110000,0.218885,0.464146
2.120000,0.218884,0.466335
2.130000,0.218884,0.468524
2.140000,0.218883,0.470713
2.150000,0.218883,0.472901
2.160000,0.218882,0.475090
2.170000,0.218882,0.477279
2.180000,0.218881,0.479468
2.190000,0.218881,0.481657
2.200000,0.218880,0.483846
2.210000,0.218880,0.486034
2.220000,0.218879,0.488223
2.230000,0.218879,0.490412
2.240000,0.218879,0.492601
2.250000,0.218878,0.494790
2.260000,0.218878,0.496978
2.270000,0.218877,0.499167
2.280000,0.218877,0.501356
2.290000,0.218876,0.503545
2.300000,0.218876,0.505733
2.310000,0.218875,0.507922
2.320000,0.218875,0.510111
2.330000,0.218874,0.512300
2.340000,0.218874,0.514488
2.350000,0.218873,0.516677
2.360000,0.218873,0.518866
2.370000,0.218872,0.521055
2.380000,0.218872,0.523243
2.390000,0.218871,0.525432
2.400000,0.218871,0.527621
2.410000,0.218870,0.529809
2.420000,0.218870,0.531998
2.430000,0.218869,0.534187
2.440000,0.218869,0.536375
2.450000,0.218868,0.538564
2.460000,0.218868,0.540753
2.470000,0.218867,0.542942
2.480000,0.218867,0.545130
2.490000,0.218866,0.547319
2.500000,0.218866,0.549508
2.510000,0.218865,0.551696
2.520000,0.218865,0.553885
2.530000,0.218864,0.556074
2.540000,0.218864,0.558262
2.550000,0.218863,0.560451
2.560000,0.218863,0.562639
2.570000,0.218862,0.564828
2.580000,0.218862,0.567017
2.590000,0.218861,0.569205
2.600000,0.218861,0.571394
2.610000,0.218860,0.573583
2.620000,0.218860,0.575771
2.630000,0.218859,0.577960
2.640000,0.218859,0.580148
2.650000,0.218859,0.582337
2.660000,0.218858,0.584525
2.670000,0.218858,0.586714
2.680000,0.218857,0.588903
2.690000,0.218857,0.591091
2.700000,0.218856,0.593280
2.710000,0.218856,0.595468
2.720000,0.218855,0.597657
2.730000,0.218855,0.599845
2.740000,0.218854,0.602034
2.750000,0.218854,0.604223
2.760000,0.218853,0.606411
2.770000,0.218853,0.608600
2.780000,0.218852,0.610788
2.790000,0.218852,0.612977
2.800000,0.218851,0.615165
2.810000,0.218851,0.617354
2.820000,0.218850,0.619542
2.830000,0.218850,0.621731
2.840000,0.218849,0.623919
2.850000,0.218849,0.626108
2.860000,0.218848,0.628296
2.870000,0.218848,0.630485
2.880000,0.218847,0.632673
2.890000,0.218847,0.634862
2.900000,0.218846,0.637050
2.910000,0.218846,0.639239
2.920000,0.218845,0.641427
2.930000,0.218845,0.643615
2.940000,0.218844,0.645804
2.950000,0.218844,0.647992
2.960000,0.218843,0.650181
2.970000,0.218843,0.652369
2.980000,0.218842,0.654558
2.990000,0.218842,0.656746
3.000000,0.218841,0.658934
3.010000,0.218841,0.661123
3.020000,0.218840,0.663311
3.030000,0.218840,0.665500
3.040000,0.218839,0.667688
3.050000,0.218839,0.669877
3.060000,0.218838,0.672065
3.070000,0.218838,0.674253
3.080000,0.218838,0.676442
3.090000,0.218837,0.678630
3.100000,0.218837,0.680818
3.110000,0.218836,0.683007
3.120000,0.218836,0.685195
3.130000,0.218835,0.687383
3.140000,0.218835,0.689572
3.150000,0.218834,0.691760
3.160000,0.218834,0.693949
3.170000,0.218833,0.696137
3.180000,0.218833,0.698325
3.190000,0.218832,0.700514
3.200000,0.218832,0.702702
3.210000,0.218831,0.704890
3.220000,0.218831,0.707078
3.230000,0.218830,0.709267
3.240000,0.218830,0.711455
3.250000,0.218829,0.713643
3.260000,0.218829,0.715832
3.270000,0.218828,0.718020
3.280000,0.218828,0.720208
3.290000,0.218827,0.722397
3.300000,0.218827,0.724585
3.310000,0.218826,0.726773
3.320000,0.218826,0.728961
3.330000,0.218825,0.731150
3.340000,0.218825,0.733338
3.350000,0.218824,0.735526
3.360000,0.218824,0.737714
3.370000,0.218823,0.739903
3.380000,0.218823,0.742091
3.390000,0.218822,0.744279
3.400000,0.218822,0.746467
3.410000,0.218821,0.748655
3.420000,0.218821,0.750844
3.430000,0.218820,0.753032
3.440000,0.218820,0.755220
3.450000,0.218819,0.757408
3.460000,0.218819,0.759596
3.470000,0.218818,0.761785
3.480000,0.218818,0.763973
3.490000,0.218818,0.766161
3.500000,0.218817,0.768349
3.510000,0.218817,0.770537
3.520000,0.218816,0.772726
3.530000,0.218816,0.774914
3.540000,0.218815,0.777102
3.550000,0.218815,0.779290
3.560000,0.218814,0.781478
3.570000,0.218814,0.783666
3.580000,0.218813,0.785854
3.590000,0.218813,0.788043
3.600000,0.218812,0.790231
3.610000,0.218812,0.792419
3.620000,0.218811,0.794607
3.630000,0.218811,0.796795
3.640000,0.218810,0.798983
3.650000,0.218810,0.801171
3.660000,0.218809,0.803359
3.670000,0.218809,0.805547
3.680000,0.218808,0.807736
3.690000,0.218808,0.809924
3.700000,0.218807,0.812112
3.710000,0.218807,0.814300
3.720000,0.218806,0.816488
3.730000,0.218806,0.818676
3.740000,0.218805,0.820864
3.750000,0.218805,0.823052
3.760000,0.218804,0.825240
3.770000,0.218804,0.827428
3.780000,0.218803,0.829616
3.790000,0.218803,0.831804
3.800000,0.218802,0.833992
3.810000,0.218802,0.836180
3.820000,0.218801,0.838368
3.830000,0.218801,0.840556
3.840000,0.218800,0.842744
3.850000,0.218800,0.844932
3.860000,0.218799,0.847120
3.870000,0.218799,0.849308
3.880000,0.218798,0.851496
3.890000,0.218798,0.853684
3.900000,0.218798,0.855872
3.910000,0.218797,0.858060
3.920000,0.218797,0.860248
3.930000,0.218796,0.862436
3.940000,0.218796,0.864624
3.950000,0.218795,0.866812
3.960000,0.218795,0.869000
3.970000,0.218794,0.871188
3.980000,0.218794,0.873376
3.990000,0.218793,0.875564
4.000000,0.218793,0.877752
4.010000,0.218792,0.879940
4.020000,0.218792,0.882128
4.030000,0.218791,0.884316
4.040000,0.218791,0.886503
4.050000,0.218790,0.888691
4.060000,0.218790,0.890879
4.070000,0.218789,0.893067
4.080000,0.218789,0.895255
4.090000,0.218788,0.897443
4.100000,0.218788,0.899631
4.110000,0.218787,0.901819
4.120000,0.218787,0.904007
4.130000,0.218786,0.906194
4.140000,0.218786,0.908382
4.150000,0.218785,0.910570
4.160000,0.218785,0.912758
4.170000,0.218784,0.914946
4.180000,0.218784,0.917134
4.190000,0.218783,0.919322
4.200000,0.218783,0.921509
4.210000,0.218782,0.923697
4.220000,0.218782,0.925885
4.230000,0.218781,0.928073
4.240000,0.218781,0.930261
4.250000,0.218780,0.932448
4.260000,0.218780,0.934636
4.270000,0.218779,0.936824
4.280000,0.218779,0.939012
4.290000,0.218778,0.941200
4.300000,0.218778,0.943387
4.310000,0.218778,0.945575
4.320000,0.218777,0.947763
4.330000,0.218777,0.949951
4.340000,0.218776,0.952139
4.350000,0.218776,0.954326
4.360000,0.218775,0.956514
4.370000,0.218775,0.958702
4.380000,0.218774,0.960890
4.390000,0.218774,0.963077
4.400000,0.218773,0.965265
4.410000,0.218773,0.967453
4.420000,0.218772,0.969640
4.430000,0.218772,0.971828
4.440000,0.218771,0.974016
4.450000,0.218771,0.976204
4.460000,0.218770,0.978391
4.470000,0.218770,0.980579
4.480000,0.218769,0.982767
4.490000,0.218769,0.984954
4.500000,0.218768,0.987142
4.510000,0.218768,0.989330
4.520000,0.218767,0.991517
4.530000,0.218767,0.993705
4.540000,0.218766,0.995893
4.550000,0.218766,0.998080
4.560000,0.218765,1.000268
4.570000,0.218765,1.002456
4.580000,0.218764,1.004643
4.590000,0.218764,1.006831
4.600000,0.218763,1.009019
4.610000,0.218763,1.011206
4.620000,0.218762,1.013394
4.630000,0.218762,1.015582
4.640000,0.218761,1.017769
4.650000,0.218761,1.019957
4.660000,0.218760,1.022144
4.670000,0.218760,1.024332
4.680000,0.218759,1.026520
4.690000,0.218759,1.028707
4.700000,0.218758,1.030895
4.710000,0.218758,1.033082
4.720000,0.218758,1.035270
4.730000,0.218757,1.037458
4.740000,0.218757,1.039645
4.750000,0.218756,1.041833
4.760000,0.218756,1.044020
4.770000,0.218755,1.046208
4.780000,0.218755,1.048395
4.790000,0.218754,1.050583
4.800000,0.218754,1.052770
4.810000,0.218753,1.054958
4.820000,0.218753,1.057146
4.830000,0.218752,1.059333
4.840000,0.218752,1.061521
4.850000,0.218751,1.063708
4.860000,0.218751,1.065896
4.870000,0.218750,1.068083
4.880000,0.218750,1.070271
4.890000,0.218749,1.072458
4.900000,0.218749,1.074646
4.910000,0.218748,1.076833
4.920000,0.218748,1.079021
4.930000,0.218747,1.081208
4.940000,0.218747,1.083396
4.950000,0.218746,1.085583
4.960000,0.218746,1.087770
4.970000,0.218745,1.089958
4.980000,0.218745,1.092145
4.990000,0.218744,1.094333
5.000000,0.218744,1.096520
5.010000,0.218743,1.098708
5.020000,0.218743,1.100895
5.030000,0.218742,1.103083
5.040000,0.218742,1.105270
5.050000,0.218741,1.107457
5.060000,0.218741,1.109645
5.070000,0.218740,1.111832
5.080000,0.218740,1.114020
5.090000,0.218739,1.116207
5.100000,0.218739,1.118394
5.110000,0.218739,1.120582
5.120000,0.218738,1.122769
5.130000,0.218738,1.124957
5.140000,0.218737,1.127144
5.150000,0.218737,1.129331
5.160000,0.218736,1.131519
5.170000,0.218736,1.133706
5.180000,0.218735,1.135893
5.190000,0.218735,1.138081
5.200000,0.218734,1.140268
5.210000,0.218734,1.142455
5.220000,0.218733,1.144643
5.230000,0.218733,1.146830
5.240000,0.218732,1.149017
5.250000,0.218732,1.151205
5.260000,0.218731,1.153392
5.270000,0.218731,1.155579
5.280000,0.218730,1.157767
5.290000,0.218730,1.159954
5.300000,0.218729,1.162141
5.310000,0.218729,1.164329
5.320000,0.218728,1.166516
5.330000,0.218728,1.168703
5.340000,0.218727,1.170890
5.350000,0.218727,1.173078
5.360000,0.218726,1.175265
5.370000,0.218726,1.177452
5.380000,0.218725,1.179639
5.390000,0.218725,1.181827
5.400000,0.218724,1.184014
5.410000,0.218724,1.186201
5.420000,0.218723,1.188388
5.430000,0.218723,1.190576
5.440000,0.218722,1.192763
5.450000,0.218722,1.194950
5.460000,0.218721,1.197137
5.470000,0.218721,1.199325
5.480000,0.218720,1.201512
5.490000,0.218720,1.203699
5.500000,0.218719,1.205886
5.510000,0.218719,1.208073
5.520000,0.218719,1.210261
5.530000,0.218718,1.212448
5.540000,0.218718,1.214635
5.550000,0.218717,1.216822
5.560000,0.218717,1.219009
5.570000,0.218716,1.221196
5.580000,0.218716,1.223384
5.590000,0.218715,1.225571
5.600000,0.218715,1.227758
5.610000,0.218714,1.229945
5.620000,0.218714,1.232132
5.630000,0.218713,1.234319
5.640000,0.218713,1.236507
5.650000,0.218712,1.238694
5.660000,0.218712,1.240881
5.670000,0.218711,1.243068
5.680000,0.218711,1.245255
5.690000,0.218710,1.247442
5.700000,0.218710,1.249629
5.710000,0.218709,1.251816
5.720000,0.218709,1.254003
5.730000,0.218708,1.256190
5.740000,0.218708,1.258378
5.750000,0.218707,1.260565
5.760000,0.218707,1.262752
5.770000,0.218706,1.264939
5.780000,0.218706,1.267126
5.790000,0.218705,1.269313
5.800000,0.218705,1.271500
5.810000,0.218704,1.273687
5.820000,0.218704,1.275874
5.830000,0.218703,1.278061
5.840000,0.218703,1.280248
5.850000,0.218702,1.282435
5.860000,0.218702,1.284622
5.870000,0.218701,1.286809
